question,expected_answer,model_output,note
被冒名注册公司如何维权？,应及时向市场监管部门举报并申请撤销登记，必要时可向法院提起行政诉讼或民事侵权诉讼，要求消除影响并赔偿损失。,根据您提供的法条内容及问题，结合法律实务经验，针对“被冒名注册公司如何维权”问题，法律建议如下： ### 一、法律依据分析 1. **法条第四十四条**：明确登记机关对不符合条件的企业予以登记或符合条件的企业不予登记的，需对直接责任人员追责。若登记机关因审核失职导致冒名登记，可据此要求登记机关撤销错误登记并追究责任。 2. **法条第四十五条**：若登记机关的上级部门强令违规登记或包庇违法行为，可向上级部门或纪检部门举报，要求追究主管人员责任。 ### 二、维权步骤建议 1. **固定证据** - 收集身份被冒用的直接证据（如公安机关报案回执、身份信息被伪造/盗用的证明、公司登记材料中签名笔迹鉴定报告等）。 - 证明自身未参与公司经营的证据（如时间证明、证人证言等）。 2. **申请撤销登记** - 向公司登记机关（如市场监督管理部门）提交书面异议申请，要求调查并撤销冒名登记。根据《市场主体登记管理条例》第三十四条，登记机关应自收到异议申请之日起20个工作日内调查处理。 3. **行政复议或诉讼** - 若登记机关拒绝撤销登记或未在期限内处理，可向上一级行政机关申请行政复议，或向法院提起行政诉讼，要求撤销错误登记。 4. **追究冒名者责任** - 向公安机关报案，以“侵犯公民个人信息罪”“诈骗罪”等罪名追究冒名注册人的刑事责任。 - 向法院提起民事诉讼，要求冒名者赔偿因被冒名登记导致的名誉损失、经济损失等。 5. **举报登记机关失职** - 若登记机关存在第四十四条所述的违法登记行为（如未尽审核义务），可向其上级部门或纪检监察机关举报，要求对直接责任人员追责。 ### 三、法条局限性说明 - 提供的法条未直接涉及冒名登记的民事救济条款，需结合《民法典》第1024条（名誉权保护）、第1025条（个人信息保护）及《公司法》第19条（虚假出资责任）等综合适用。 - 若冒名登记涉及虚假出资或抽逃出资，可能触发《刑法》第158条“虚报注册资本罪”或第159条“虚假出资、抽逃出资罪”，需进一步证据支撑。 ### 四、风险提示 - 若冒名登记企业存在债务纠纷，债权人可能以“被冒名人存在形式股东身份”为由主张权利，需及时通过司法程序涤除股东身份。 - 建议全程委托律师处理，因涉及行政、民事、刑事交叉领域，需专业法律文书及程序应对。 综上，建议您立即固定证据并启动行政撤销程序，同时保留追究冒名者及失职登记机关责任的权利。若需进一步法律文书模板或程序指导，建议咨询专业律师。,一致性: 是 差异说明: 无差异
婚内出轨会受到什么法律处罚？,婚内出轨一般不构成犯罪，但可在离婚诉讼中作为过错方，在财产分割和子女抚养方面处于不利地位；若涉及重婚或同居，则可能构成刑事犯罪。,根据您提供的相关法条，婚内出轨的法律后果需结合具体行为性质判断： 1. **构成重婚罪**： 若出轨方在婚姻存续期间与他人登记结婚，或以夫妻名义共同生活（符合事实重婚），则可能触犯《刑法》第258条重婚罪，处2年以下有期徒刑或拘役。 **注意**：单纯出轨（如未登记结婚或未形成共同生活状态）不构成重婚罪。 2. **构成破坏军婚罪**： 若出轨对象为现役军人配偶，且明知其军婚身份仍与之同居或结婚，则可能触犯《刑法》第259条破坏军婚罪，处3年以下有期徒刑或拘役。 3. **不构成犯罪的情形**： 若仅存在婚内出轨行为，未涉及重婚或破坏军婚，通常不构成刑事犯罪。但根据《民法典》第1091条，无过错方可在离婚时主张损害赔偿。 综上，婚内出轨是否受刑事处罚取决于是否符合重婚或破坏军婚的构成要件。若不符合，无法追究刑事责任，但可能承担民事赔偿责任。建议结合具体行为细节进一步分析。,一致性: 是  差异说明: 无差异
房东不退还押金怎么办？,承租人可凭租赁合同、押金收据等证据向法院起诉，要求返还押金及相应利息，也可以向住建部门或街道办反映协调处理。,根据您提供的法条内容，关于房东不退还押金的问题，目前法条中未直接涉及押金退还的具体规定，但结合《民法典》第七百三十三条（未在您提供的法条中）及租赁合同纠纷的一般规则，可提供以下法律建议： 1. **协商解决**：首先与房东协商，要求返还押金。若房东拒绝，需明确其扣留押金的依据（如房屋损坏、拖欠租金等），并要求提供证据。 2. **法律依据**： - 若房东无正当理由扣留押金，您可依据《民法典》第七百三十三条主张返还押金（该条款规定租赁合同终止后，出租人应返还押金）。 - 若房东以房屋损坏为由扣留押金，需根据《民法典》第七百一十一条判断是否符合扣除条件。若实际损失小于押金金额，房东仍需返还差额。 - 若涉及融资租赁合同（如第七百五十八条），且租赁物价值超过欠付租金，您可主张返还差额。 3. **救济途径**： - 向房屋所在地的基层人民法院提起诉讼，要求返还押金及利息（若房东长期占用资金）。 - 若房东存在恶意侵占行为，可能涉及侵占罪，可向公安机关报案。 **注意**：建议您收集押金收据、房屋交接记录、维修记录等证据，以证明押金应返还的事实。若法条不足以完全解决争议，需结合具体案情进一步分析。,一致性: 否 差异说明: 标准答案直接给出了向法院起诉和反映协调处理的建议，而模型输出则提供了更详细的法律依据、协商解决步骤以及具体的救济途径，并且强调了证据收集的重要性。模型的回答更加全面细致，但与标准答案相比，没有完全一致地给出最简明的操作指引。
交通事故私了后还能报警吗？,可以。如果事后发现对方有欺诈、胁迫行为或协议显失公平，仍可报警或向法院起诉要求重新认定责任。,根据相关法条规定，交通事故私了后原则上仍可报警，但需结合具体情况分析： 1. **第七十条规定**：交通事故发生后，驾驶人应立即停车、保护现场并报告交警或公安机关。若因抢救伤员需移动现场，应标明位置。若未造成人身伤亡且双方对事实及成因无争议，可自行协商处理。但若后续发现协议存在争议（如隐瞒伤情、酒驾等），或需交警介入处理（如需出具事故认定书），当事人仍可报警。 2. **第一百零一条规定**：若事故涉及逃逸或构成犯罪（如酒驾致重大事故），报警是强制要求。即使已私了，若存在违法行为，报警仍属必要。 **结论**：交通事故私了后，若后续发现协议无效、存在违法行为或需交警介入的情形，当事人可依法报警。但若私了协议合法且双方已履行完毕，交警可能依据协议内容处理，不再重新认定责任。建议在私了前留存证据（如现场照片、伤情记录），以避免后续争议。,一致性: 是  差异说明: 无差异
公司破产员工工资如何清偿？,按照《企业破产法》规定，员工工资在破产财产清偿顺序中优先于普通债权，应在清偿破产费用和共益债务后首先支付。,根据《企业破产法》第九十一条、第一百一十三条及第一百二十四条的规定，公司破产时员工工资的清偿规则如下： 1. **清偿顺序** 破产财产在优先清偿破产费用和共益债务后，员工工资及相关费用属于第一顺位清偿债权，具体包括： - 所欠职工工资； - 医疗、伤残补助、抚恤费用； - 应当划入职工个人账户的基本养老保险、基本医疗保险费用； - 法律、行政法规规定的补偿金。 2. **清偿比例** 若破产财产不足以覆盖全部第一顺位债权，按比例分配。例如，若破产财产为100万元，而员工工资总债权为200万元，则每位员工按50%比例受偿。 3. **高管工资限制** 破产企业的董事、监事和高级管理人员的工资按该企业职工的平均工资计算，超出部分不予清偿。 4. **后续追偿** 若公司破产后员工工资未获全额清偿，可向破产企业的保证人或其他连带债务人主张权利（第一百二十四条）。 **法律依据**： - 第九十一条、第一百一十三条明确员工工资的优先清偿地位； - 第一百二十四条为员工保留对连带责任主体的追偿权。 综上，员工工资在破产程序中享有法定优先权，但实际受偿比例取决于破产财产规模。若存在保证人或连带债务人，员工可进一步主张权利。,一致性: 是  差异说明: 无差异
未成年人在学校受伤谁负责？,学校未尽到教育、管理职责的，应承担相应责任；若系第三人造成伤害的，由第三人承担侵权责任，学校承担补充责任。,根据您提供的法条内容，关于未成年人在学校受伤的责任问题，现有法条未直接规定责任归属，需结合其他法律综合判断。以下是法律分析： 1. **学校责任**：根据《民法典》第120条，学校作为教育机构，若未尽到教育、管理职责（如未采取合理安全措施、未及时发现风险等），可能需承担侵权责任。但您提供的法条（如第29条要求学校关心学生、第43条要求制止违规行为）仅规定学校的一般管理义务，未明确责任划分标准。 2. **学生或第三方责任**：若伤害由学生自身行为（如故意行为）或第三方（如其他学生、校外人员）造成，责任可能由行为人承担。学校若已尽到管理义务（如及时制止违规行为、提供安全环境），可减轻或免除责任。 3. **家长责任**：若学校已按规定（如第34条联系家长、第43条告知监护人）履行通知义务，但家长未履行监护职责导致伤害，家长可能需承担相应责任。 **结论**：现有法条无法单独确定责任归属，需结合《民法典》《侵权责任法》及具体事实（如学校是否尽到管理义务、伤害原因等）综合判断。建议咨询专业律师或教育行政部门，必要时通过司法途径明确责任。,一致性: 否  差异说明: 标准答案直接指出了学校和第三人责任的具体情形，而模型输出则提供了更详细的法律分析，并指出需要结合其他法律规定来综合判断。模型输出还提到了家长可能的责任，这是标准答案中没有提到的。
公司印章丢失怎么办？,应立即向公安机关报案并登报声明作废，携带相关材料到原备案机关申请补刻新章，同时通知合作单位避免产生法律风险。,根据您提供的法条内容，现行法律中未直接针对公司印章丢失的处理程序作出明确规定。但结合企业印章管理的常规法律实践，建议采取以下措施： 1. **立即报案**：根据《治安管理处罚法》第52条，伪造、冒用公司印章属于违法行为。印章丢失后应第一时间向公安机关报案，留存报案回执作为证据。 2. **登报声明**：在省级以上公开发行的报纸刊登遗失声明，公告原印章作废。虽然法条未明确此要求，但司法实践中常将此作为证明印章失效的参考依据。 3. **工商备案**：向公司登记机关提交印章遗失说明及补刻申请，完成新印章备案手续。依据《企业法人登记管理条例》第22条，企业印章需经登记机关备案。 4. **内部追责**：根据《公司法》第148条，若印章丢失系管理失职导致，可追究相关责任人的赔偿责任。 5. **防范措施**：修订《印章管理制度》，采用电子印章（参考《电子签名法》第14条）或双人联签制度，降低风险。 需注意：若他人冒用丢失印章签订合同，根据《民法典》第490条，合同效力需结合相对人是否善意无过失判断。建议及时向法院申请公示催告程序（《民事诉讼法》第222条），宣告原印章作废。 由于您提供的法条未涵盖印章管理的专门规定，建议结合《企业印章管理办法》（国发〔1999〕25号）及地方性法规进一步处理，并咨询专业律师评估具体风险。,一致性: 是  差异说明: 无差异
微信转账被骗能追回吗？,应及时报警并提供转账记录、聊天记录等证据，警方可根据资金流向追踪，必要时可冻结账户，但能否追回取决于案件进展。,根据您提供的法条内容及问题，关于微信转账被骗能否追回的问题，法律建议如下： 1. **及时采取措施**：根据《民法典》第1196条，您作为权利人（受害人），可向微信平台提交侵权通知，要求冻结涉嫌诈骗的账户。平台收到通知后应采取必要措施（如冻结账户），但需注意平台需在合理期限内未收到对方声明或诉讼通知后方可终止措施。 2. **报警与刑事追责**：根据反电信网络诈骗法相关规定，银行及支付机构需完整传输交易信息（如商户名称、账号等），这为公安机关追踪资金流向提供了法律依据。建议立即向公安机关报案，启动刑事侦查程序。若涉及诈骗罪，司法机关可依法冻结涉案资金并追缴。 3. **民事救济途径**：若刑事追赃困难，您可依据《民法典》第1165条（未完整提供）主张民事赔偿，要求返还财产。但需证明对方存在过错及资金转移的因果关系，需结合转账记录、聊天记录等证据。 **法条局限性说明**：现行法条未直接规定网络支付平台对被骗资金的直接追回义务，实际追回可能性取决于： - 资金是否仍存在于可冻结账户； - 公安机关侦查进展及涉案资金流向； - 是否在合理时间内采取法律行动。 建议：立即联系微信客服提交被骗证据，同步向公安机关报案，并咨询专业律师完善证据链。若资金流向明确且未被转移，通过刑事追缴或民事诉讼可能追回，但存在不确定性。,一致性: 是  差异说明: 无差异
房屋质量问题保修期多久？,根据《建设工程质量管理条例》，屋面防水工程最低保修期为5年，其他部位通常为2年，开发商应履行保修义务。,根据《中华人民共和国建筑法》第六十二条的规定，建筑工程实行质量保修制度，保修范围包括地基基础工程、主体结构工程、屋面防水工程等项目，保修期限应按照保证建筑物合理寿命年限内正常使用的原则确定。具体的保修范围和最低保修期限由国务院规定。然而，现行法条中未明确列举各分项工程的具体保修期限，需结合《建设工程质量管理条例》等配套法规进一步明确。例如，根据《建设工程质量管理条例》第四十条，地基基础工程和主体结构工程的保修期为设计文件规定的合理使用年限，屋面防水工程的保修期为5年，供热与供冷系统为2个采暖期或供冷期等。因此，建议您结合具体工程类型，参考国务院及相关部门发布的实施细则以获取准确的保修期限。若需进一步法律咨询，建议联系专业律师或建设行政主管部门。,一致性: 否 差异说明: 标准答案仅提及屋面防水工程保修期为5年，其他部位通常为2年；而模型输出提供了更详细的信息，包括地基基础工程、主体结构工程的保修期限，并指出需结合《建设工程质量管理条例》进一步明确具体项目的保修期限。
公司注销后债务谁承担？,公司以全部资产对外承担责任，若清算程序合法，股东无需承担剩余债务；若存在抽逃出资、恶意转移资产等行为，股东可能承担连带责任。,根据您提供的法条内容，关于公司注销后债务承担的问题，可结合以下法律原则分析： 1. **清算责任优先**：根据《公司法》相关规定（虽未直接在您提供的法条中体现），公司注销前必须依法完成清算程序。清算组应以公司全部财产清偿债务，债权人可向清算组主张权利。若公司财产不足以清偿债务，剩余债务原则上不再清偿。 2. **股东责任**：若公司未经合法清算即注销，或股东在清算过程中存在恶意逃避债务、未履行法定清算义务等行为，则股东可能需对公司债务承担连带责任。此情形可类比《最高人民法院关于适用〈公司法〉若干问题的规定（二）》第十八条，但需结合具体证据（如虚假清算报告、转移资产等）。 3. **破产程序例外**：若公司在注销前已进入破产程序，则债务清偿需遵循《企业破产法》第四十二条关于共益债务的规定（您提供的法条第四十二条），但破产程序与普通注销程序不同，需以法院受理破产申请为前提。 **结论**：公司注销后，债务原则上由清算组以公司财产清偿；若清算程序违法或股东存在过错，股东可能承担补充责任。但您提供的法条未直接涵盖公司注销后的债务承担规则，建议结合《公司法》第一百八十六条及司法解释进一步分析。若涉及具体案件，需综合证据及法律适用判断。,一致性: 是  差异说明: 无差异
